Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-01-05,589.0,607.5,571.48,572.76,2096100,0.0,0.0
2022-01-06,567.4,589.45,555.0,574.04,1674500,0.0,0.0
2022-01-07,570.69,585.58,558.33,566.39,1190500,0.0,0.0
2022-01-10,550.1,573.1,535.81,572.0,1967600,0.0,0.0
2022-01-11,569.88,580.24,561.75,578.44,1340000,0.0,0.0
2022-01-12,587.32,591.52,569.62,573.39,1717200,0.0,0.0
2022-01-13,575.02,575.84,520.0,521.26,3904900,0.0,0.0
2022-01-14,521.26,538.54,514.66,531.02,3237600,0.0,0.0
2022-01-18,524.7,544.46,517.59,522.34,2386600,0.0,0.0
2022-01-19,525.42,543.73,520.64,521.29,2570500,0.0,0.0
2022-01-20,532.21,542.8,513.72,515.0,1885600,0.0,0.0
2022-01-21,510.0,528.88,507.13,507.74,2605600,0.0,0.0
2022-01-24,500.29,527.62,484.43,525.84,3420500,0.0,0.0
2022-01-25,515.45,517.6,484.44,495.08,2878700,0.0,0.0
2022-01-26,514.28,520.99,479.35,484.42,3475300,0.0,0.0
2022-01-27,553.53,556.99,518.14,528.69,5506100,0.0,0.0
2022-01-28,528.69,563.5,507.8,561.08,3807800,0.0,0.0
2022-01-31,567.27,588.4,564.96,585.78,2654100,0.0,0.0
2022-02-01,584.9,590.71,576.96,586.54,1841700,0.0,0.0
2022-02-02,594.85,594.85,573.08,581.15,1313200,0.0,0.0
2022-02-03,568.21,582.04,559.3,560.85,1355800,0.0,0.0
2022-02-04,559.99,587.37,554.78,577.52,1250400,0.0,0.0
2022-02-07,577.99,588.44,570.47,573.2,988500,0.0,0.0
2022-02-08,564.2,592.0,563.97,591.27,1396400,0.0,0.0
2022-02-09,598.85,614.33,598.0,613.97,1665400,0.0,0.0
2022-02-10,600.47,621.41,599.96,610.46,1981300,0.0,0.0
2022-02-11,603.45,610.0,577.62,583.72,2140000,0.0,0.0
2022-02-14,578.87,589.33,574.18,579.58,1240000,0.0,0.0
2022-02-15,587.81,593.88,581.22,591.66,987000,0.0,0.0
2022-02-16,585.84,593.03,576.48,590.89,1100400,0.0,0.0
2022-02-17,584.08,587.16,564.59,565.75,1069300,0.0,0.0
2022-02-18,565.96,569.0,551.52,556.01,1276700,0.0,0.0
2022-02-22,544.07,561.95,539.4,550.15,1162000,0.0,0.0
2022-02-23,550.15,553.42,522.66,524.7,1863900,0.0,0.0
2022-02-24,508.25,575.97,502.46,573.95,2367600,0.0,0.0
2022-02-25,568.96,580.3,564.05,580.23,1053900,0.0,0.0
2022-02-28,578.2,585.54,570.92,579.92,1496100,0.0,0.0
2022-03-01,583.82,599.58,566.79,571.07,1588500,0.0,0.0
2022-03-02,578.32,590.76,560.02,587.06,1090100,0.0,0.0
2022-03-03,592.02,593.33,556.7,562.31,1468600,0.0,0.0
2022-03-04,555.49,569.1,542.41,547.07,1381400,0.0,0.0
2022-03-07,553.37,563.1,518.68,519.62,2145600,0.0,0.0
2022-03-08,510.0,535.9,504.46,518.2,1479500,0.0,0.0
2022-03-09,536.46,565.78,533.11,559.58,1647700,0.0,0.0
2022-03-10,548.58,551.92,530.92,533.59,1764300,0.0,0.0
2022-03-11,542.64,544.55,511.36,512.15,1228900,0.0,0.0
2022-03-14,514.96,526.32,492.05,495.1,1637600,0.0,0.0
2022-03-15,500.18,517.6,491.31,514.22,1331600,0.0,0.0
2022-03-16,528.51,548.76,517.39,547.4,1825400,0.0,0.0
2022-03-17,540.38,567.97,540.38,566.68,1284800,0.0,0.0
2022-03-18,577.6,583.86,566.75,579.88,2308500,0.0,0.0
2022-03-21,575.0,580.61,555.37,569.8,1416300,0.0,0.0
2022-03-22,570.71,597.74,570.1,588.66,1351000,0.0,0.0
2022-03-23,573.64,579.83,562.47,567.96,1112900,0.0,0.0
2022-03-24,570.0,582.73,562.31,581.09,985500,0.0,0.0
2022-03-25,581.04,583.61,556.8,561.87,1357100,0.0,0.0
2022-03-28,567.33,583.88,561.98,582.76,1306300,0.0,0.0
2022-03-29,590.22,601.62,577.64,597.75,1317900,0.0,0.0
2022-03-30,590.12,591.05,570.72,573.99,1514800,0.0,0.0
2022-03-31,573.99,576.99,556.39,556.89,2039400,0.0,0.0
2022-04-01,556.1,561.52,544.03,548.69,1931800,0.0,0.0
2022-04-04,548.0,575.81,546.52,574.82,1532700,0.0,0.0
2022-04-05,570.0,571.48,550.79,553.22,1155700,0.0,0.0
2022-04-06,542.82,542.82,519.68,527.95,1624900,0.0,0.0
2022-04-07,525.63,541.9,519.94,529.78,1155500,0.0,0.0
2022-04-08,525.0,529.38,514.22,515.6,1241000,0.0,0.0
2022-04-11,507.87,519.77,499.57,511.42,1422800,0.0,0.0
2022-04-12,522.59,534.13,508.95,510.21,1724400,0.0,0.0
2022-04-13,514.07,529.62,510.81,526.07,1389300,0.0,0.0
2022-04-14,524.9,525.91,506.72,507.33,1208800,0.0,0.0
2022-04-18,506.67,506.67,493.4,497.53,1309900,0.0,0.0
2022-04-19,498.78,520.72,492.07,514.4,1509500,0.0,0.0
2022-04-20,520.36,522.1,502.98,505.22,1189400,0.0,0.0
2022-04-21,511.55,521.69,488.84,491.67,1414300,0.0,0.0
2022-04-22,493.45,497.73,469.1,471.4,1761000,0.0,0.0
2022-04-25,464.75,477.38,464.26,472.27,1815100,0.0,0.0
2022-04-26,471.92,472.16,453.92,456.0,1894200,0.0,0.0
2022-04-27,462.74,474.41,459.43,466.29,2680100,0.0,0.0
2022-04-28,508.0,514.0,484.76,504.02,3763400,0.0,0.0
2022-04-29,489.18,508.99,477.08,478.1,1455200,0.0,0.0
2022-05-02,474.69,485.31,469.02,484.5,1411000,0.0,0.0
2022-05-03,481.98,488.39,469.62,481.86,1304900,0.0,0.0
2022-05-04,485.24,501.11,460.09,499.46,1849500,0.0,0.0
2022-05-05,494.89,495.48,461.98,469.33,1917900,0.0,0.0
2022-05-06,462.56,468.47,438.12,456.74,1965300,0.0,0.0
2022-05-09,443.0,450.31,422.61,425.87,2847900,0.0,0.0
2022-05-10,441.0,444.41,416.56,432.32,1895500,0.0,0.0
2022-05-11,426.17,447.98,418.71,420.36,1894700,0.0,0.0
2022-05-12,418.59,443.11,406.47,432.94,2701900,0.0,0.0
2022-05-13,437.74,459.69,436.34,452.65,2093500,0.0,0.0
2022-05-16,446.25,451.79,430.78,432.93,1662800,0.0,0.0
2022-05-17,445.92,451.48,417.06,432.85,2137600,0.0,0.0
2022-05-18,428.5,434.62,408.22,412.25,1778700,0.0,0.0
2022-05-19,414.48,435.72,410.32,426.76,2044700,0.0,0.0
2022-05-20,437.67,446.68,419.87,433.03,1725300,0.0,0.0
2022-05-23,430.92,438.93,424.31,430.12,1952700,0.0,0.0
2022-05-24,426.5,430.11,411.04,419.65,1732500,0.0,0.0
2022-05-25,423.45,457.6,421.87,452.29,3258400,0.0,0.0
2022-05-26,450.14,460.75,444.0,454.87,1789900,0.0,0.0
2022-05-27,463.19,479.97,462.89,476.29,1950200,0.0,0.0
2022-05-31,472.05,476.38,462.65,467.47,2411800,0.0,0.0
2022-06-01,491.04,496.98,470.73,475.13,1669900,0.0,0.0
2022-06-02,469.66,510.73,469.66,504.8,2004700,0.0,0.0
2022-06-03,495.84,505.66,484.7,492.48,1128900,0.0,0.0
2022-06-06,497.02,501.01,487.4,492.54,944300,0.0,0.0
2022-06-07,487.7,510.45,485.2,506.43,1297000,0.0,0.0
2022-06-08,501.92,509.36,500.53,505.42,1115400,0.0,0.0
2022-06-09,500.63,507.78,491.94,492.22,953200,0.0,0.0
2022-06-10,482.73,487.9,468.8,473.15,1243600,0.0,0.0
2022-06-13,450.0,458.85,439.0,440.37,1493300,0.0,0.0
2022-06-14,441.9,451.52,437.87,444.75,1078800,0.0,0.0
2022-06-15,449.52,475.46,449.07,465.95,1950800,0.0,0.0
2022-06-16,447.69,455.62,424.17,428.08,3030900,0.0,0.0
2022-06-17,430.13,451.05,429.03,443.79,2362400,0.0,0.0
2022-06-21,449.86,461.54,449.85,455.27,1136200,0.0,0.0
2022-06-22,450.21,466.1,448.33,458.65,983800,0.0,0.0
2022-06-23,466.29,486.75,466.29,485.53,1439400,0.0,0.0
2022-06-24,495.16,506.38,493.99,504.09,1700200,0.0,0.0
2022-06-27,506.37,509.7,489.23,496.7,1127200,0.0,0.0
2022-06-28,496.7,500.26,471.02,473.44,1254400,0.0,0.0
2022-06-29,473.61,483.46,467.5,477.79,978500,0.0,0.0
2022-06-30,472.74,479.92,459.64,475.52,1774100,0.0,0.0
2022-07-01,474.93,485.45,469.09,484.36,1505800,0.0,0.0
2022-07-05,480.21,497.5,474.01,495.93,1463600,0.0,0.0
2022-07-06,500.37,506.45,487.9,493.31,1053500,0.0,0.0
2022-07-07,490.17,501.91,490.17,497.05,1251900,0.0,0.0
2022-07-08,489.28,499.42,485.83,494.15,1486200,0.0,0.0
2022-07-11,488.97,495.54,480.6,490.4,959100,0.0,0.0
2022-07-12,461.25,466.73,424.79,427.94,6864300,0.0,0.0
2022-07-13,416.01,434.71,411.66,422.77,3186400,0.0,0.0
2022-07-14,416.5,430.43,407.5,420.97,2165300,0.0,0.0
2022-07-15,431.35,440.76,427.59,435.62,2157400,0.0,0.0
2022-07-18,437.59,442.48,426.01,426.74,1811300,0.0,0.0
2022-07-19,432.22,436.91,420.26,435.94,1422800,0.0,0.0
2022-07-20,442.9,458.29,440.99,456.85,1463600,0.0,0.0
2022-07-21,449.4,460.83,440.01,460.29,2047900,0.0,0.0
2022-07-22,460.61,465.88,443.84,446.77,1251300,0.0,0.0
2022-07-25,445.43,445.69,436.66,440.0,1031300,0.0,0.0
2022-07-26,443.6,443.6,417.78,422.82,1834500,0.0,0.0
2022-07-27,432.05,450.13,428.63,448.6,2255200,0.0,0.0
2022-07-28,431.23,446.31,423.69,436.5,3914200,0.0,0.0
2022-07-29,429.23,448.77,426.43,446.66,2019600,0.0,0.0
2022-08-01,438.99,455.57,435.7,453.77,1729500,0.0,0.0
2022-08-02,444.66,461.07,442.25,454.44,1112900,0.0,0.0
2022-08-03,460.75,472.91,457.16,471.45,1400500,0.0,0.0
2022-08-04,467.79,495.48,463.63,493.0,3326500,0.0,0.0
2022-08-05,478.08,503.27,475.26,494.85,2977700,0.0,0.0
2022-08-08,495.1,503.48,491.99,494.95,1636900,0.0,0.0
2022-08-09,492.28,497.77,483.49,487.46,983300,0.0,0.0
2022-08-10,501.96,516.62,500.98,516.2,1831900,0.0,0.0
2022-08-11,520.0,521.58,497.42,499.45,1481800,0.0,0.0
2022-08-12,504.44,508.0,492.99,506.51,1662200,0.0,0.0
2022-08-15,502.0,511.0,498.56,504.07,992900,0.0,0.0
2022-08-16,499.0,500.4,491.55,496.74,1432400,0.0,0.0
2022-08-17,489.0,493.66,485.48,488.76,875400,0.0,0.0
2022-08-18,486.36,490.46,480.22,489.6,981600,0.0,0.0
2022-08-19,484.17,484.69,473.32,476.26,981400,0.0,0.0
2022-08-22,466.57,469.24,455.77,459.71,1019300,0.0,0.0
2022-08-23,459.99,464.07,456.38,459.99,790200,0.0,0.0
2022-08-24,460.29,463.42,455.16,457.52,835300,0.0,0.0
2022-08-25,456.4,466.33,453.3,466.03,1056700,0.0,0.0
2022-08-26,467.29,467.5,444.67,444.69,898000,0.0,0.0
2022-08-29,440.0,447.58,435.51,435.78,859900,0.0,0.0
2022-08-30,442.5,444.08,429.51,436.84,960500,0.0,0.0
2022-08-31,440.0,446.0,433.84,434.62,1396000,0.0,0.0
2022-09-01,429.81,431.7,416.68,430.56,1579400,0.0,0.0
2022-09-02,438.37,447.49,431.28,434.51,1557700,0.0,0.0
2022-09-06,430.11,437.76,424.35,430.47,959800,0.0,0.0
2022-09-07,430.99,446.39,430.2,444.16,881800,0.0,0.0
2022-09-08,439.04,453.25,438.08,450.77,1211300,0.0,0.0
2022-09-09,458.08,471.92,457.51,470.03,1392000,0.0,0.0
2022-09-12,475.2,482.69,469.26,476.29,1175000,0.0,0.0
2022-09-13,450.0,458.38,449.4,452.38,1449600,0.0,0.0
2022-09-14,454.37,460.57,448.21,457.49,1031500,0.0,0.0
2022-09-15,444.92,457.81,434.21,435.55,1965000,0.0,0.0
2022-09-16,431.47,434.01,421.11,425.8,2138100,0.0,0.0
2022-09-19,422.8,426.5,418.84,425.05,885600,0.0,0.0
2022-09-20,421.5,421.5,411.01,411.2,1658100,0.0,0.0
2022-09-21,415.19,418.94,401.39,401.43,2521900,0.0,0.0
2022-09-22,399.87,404.46,386.7,386.97,2417900,0.0,0.0
2022-09-23,382.93,387.33,374.36,377.04,2212200,0.0,0.0
2022-09-26,376.48,382.61,367.71,370.1,2377200,0.0,0.0
2022-09-27,376.76,379.3,371.2,378.95,2127400,0.0,0.0
2022-09-28,378.44,390.39,376.42,388.85,1538800,0.0,0.0
2022-09-29,382.88,386.31,377.74,385.5,1497400,0.0,0.0
2022-09-30,385.0,396.08,377.18,377.61,1825700,0.0,0.0
2022-10-03,380.08,394.02,374.73,391.71,2327600,0.0,0.0
2022-10-04,402.13,413.66,400.83,411.55,1978800,0.0,0.0
2022-10-05,402.75,425.75,402.01,420.58,1771800,0.0,0.0
2022-10-06,422.12,433.39,416.54,418.43,1743600,0.0,0.0
2022-10-07,410.0,412.43,398.96,401.21,1235500,0.0,0.0
2022-10-10,401.39,402.21,377.15,381.78,1790300,0.0,0.0
2022-10-11,381.65,381.72,366.88,371.3,2042800,0.0,0.0
2022-10-12,372.49,376.31,365.94,369.13,1836600,0.0,0.0
2022-10-13,347.75,366.57,337.0,361.9,2740000,0.0,0.0
2022-10-14,366.02,366.85,340.9,341.76,3201100,0.0,0.0
2022-10-17,351.43,358.88,347.51,348.61,2571600,0.0,0.0
2022-10-18,362.34,367.47,351.05,356.79,2099400,0.0,0.0
2022-10-19,350.71,359.86,350.52,355.44,1384200,0.0,0.0
2022-10-20,356.13,366.47,351.04,356.26,1655700,0.0,0.0
2022-10-21,353.31,361.64,347.29,360.67,1451300,0.0,0.0
